,image_link,group_id,entity_name,entity_value
74086,https://m.media-amazon.com/images/I/71Tp-wYAs4L.jpg,746096,voltage,5.0 volt
94973,https://m.media-amazon.com/images/I/61yJEy92olL.jpg,271537,voltage,12.0 volt
116563,https://m.media-amazon.com/images/I/719DBXRh8hL.jpg,709627,voltage,250.0 volt
28956,https://m.media-amazon.com/images/I/71xoIhDhxGL.jpg,641642,voltage,5.0 volt
95503,https://m.media-amazon.com/images/I/61PT5Wphl1L.jpg,641642,voltage,5.0 volt
126061,https://m.media-amazon.com/images/I/41pm2rIN1SL.jpg,271537,voltage,24.0 volt
120774,https://m.media-amazon.com/images/I/61M38jzA5JL.jpg,271537,voltage,120.0 volt
25213,https://m.media-amazon.com/images/I/51j8iBHdfRL.jpg,271537,voltage,12.0 volt
121477,https://m.media-amazon.com/images/I/61Bos3EYnDL.jpg,648011,voltage,"[85.0, 265.0] volt"
59255,https://m.media-amazon.com/images/I/915MaQnD6oL.jpg,709627,voltage,3.85 volt
39950,https://m.media-amazon.com/images/I/71LIGSE+TmL.jpg,179080,wattage,750.0 watt
74343,https://m.media-amazon.com/images/I/61V3g5L5PzL.jpg,955292,wattage,1080.0 horsepower
29028,https://m.media-amazon.com/images/I/71FZ39HkfML.jpg,318770,wattage,60.0 watt
45405,https://m.media-amazon.com/images/I/51Nm9A58fHL.jpg,860821,wattage,5.0 watt
76502,https://m.media-amazon.com/images/I/71QMaTpKvxS.jpg,955292,wattage,15.0 watt
114399,https://m.media-amazon.com/images/I/61bVFGPo2UL.jpg,752266,wattage,60.0 watt
54000,https://m.media-amazon.com/images/I/71vq3vQ++PL.jpg,179080,wattage,750.0 watt
32804,https://m.media-amazon.com/images/I/61r-aSqGwYL.jpg,752266,wattage,50.0 watt
17045,https://m.media-amazon.com/images/I/61weT6VaLlS.jpg,752266,wattage,48.0 watt
24303,https://m.media-amazon.com/images/I/518M1NZZmRL.jpg,318770,wattage,66.0 watt
27699,https://m.media-amazon.com/images/I/81-z443vr0L.jpg,318770,wattage,100.0 watt
66665,https://m.media-amazon.com/images/I/71cwxZkS1CL.jpg,752266,wattage,5.0 watt
92412,https://m.media-amazon.com/images/I/81mrSCSyQbL.jpg,179080,wattage,350.0 watt
30013,https://m.media-amazon.com/images/I/710D8ZbgDZL.jpg,318770,wattage,66.0 watt
44238,https://m.media-amazon.com/images/I/719td4sJJLL.jpg,860821,wattage,25.0 watt
32428,https://m.media-amazon.com/images/I/61CR8ZTT4pL.jpg,318770,wattage,60.0 watt
2307,https://m.media-amazon.com/images/I/71CBQEm86TL.jpg,179080,wattage,250.0 watt
90069,https://m.media-amazon.com/images/I/513Xe7HuUML.jpg,416664,wattage,0.3 watt
29047,https://m.media-amazon.com/images/I/61v9ZCh-scL.jpg,179080,wattage,1000.0 watt
1248,https://m.media-amazon.com/images/I/815ItNAU7kL.jpg,416664,wattage,3.0 watt
84322,https://m.media-amazon.com/images/I/718VhIGgKaL.jpg,120219,maximum_weight_recommendation,25.0 ton
34477,https://m.media-amazon.com/images/I/711Lo5JpPwL.jpg,120219,maximum_weight_recommendation,30.0 gram
64530,https://m.media-amazon.com/images/I/71hHtpHw4DL.jpg,801829,maximum_weight_recommendation,120 kilogram
96747,https://m.media-amazon.com/images/I/81ByoqUOdML.jpg,120219,maximum_weight_recommendation,340.0 ounce
108177,https://m.media-amazon.com/images/I/71Fko2dwxrL.jpg,120219,maximum_weight_recommendation,5.0 kilogram
53368,https://m.media-amazon.com/images/I/61zsZkERk+L.jpg,120219,maximum_weight_recommendation,1.0 gram
101672,https://m.media-amazon.com/images/I/71-Not4fN7L.jpg,120219,maximum_weight_recommendation,1500.0 gram
33590,https://m.media-amazon.com/images/I/61oAdBFpyfL.jpg,171418,maximum_weight_recommendation,20 kilogram
79815,https://m.media-amazon.com/images/I/71ON7bGJlwL.jpg,178958,maximum_weight_recommendation,11.0 pound
95525,https://m.media-amazon.com/images/I/71IFOlG5+rL.jpg,801829,maximum_weight_recommendation,135 kilogram
83154,https://m.media-amazon.com/images/I/61OE34I9tSL.jpg,969033,maximum_weight_recommendation,50 pound
119853,https://m.media-amazon.com/images/I/71+xQ9p-93L.jpg,120219,maximum_weight_recommendation,100.0 gram
25995,https://m.media-amazon.com/images/I/71KopROv5WL.jpg,204245,maximum_weight_recommendation,440 pound
100884,https://m.media-amazon.com/images/I/71FWXCDiNML.jpg,156839,maximum_weight_recommendation,55.0 pound
64888,https://m.media-amazon.com/images/I/71seLYzGiJS.jpg,204245,maximum_weight_recommendation,200 kilogram
66475,https://m.media-amazon.com/images/I/81YElYMz7CL.jpg,751532,maximum_weight_recommendation,225 pound
82489,https://m.media-amazon.com/images/I/61+kqvH70GL.jpg,704724,maximum_weight_recommendation,100 kilogram
21541,https://m.media-amazon.com/images/I/71ZORLWUT5L.jpg,801829,maximum_weight_recommendation,330.0 pound
116335,https://m.media-amazon.com/images/I/41IhkUBUEDL.jpg,120219,maximum_weight_recommendation,100.0 gram
125127,https://m.media-amazon.com/images/I/71ipEURTAvL.jpg,120219,maximum_weight_recommendation,40.0 pound
249362,https://m.media-amazon.com/images/I/51FF-opkDFL.jpg,802198,height,110.0 millimetre
256143,https://m.media-amazon.com/images/I/41kgxO3bUCL.jpg,302672,height,12.0 centimetre
257674,https://m.media-amazon.com/images/I/61DjRW7fTXL.jpg,866516,height,7.0 centimetre
253078,https://m.media-amazon.com/images/I/51PrBK+tuzL.jpg,877667,height,17.0 centimetre
149175,https://m.media-amazon.com/images/I/41p45P7f3xL.jpg,752266,height,48.5 centimetre
243350,https://m.media-amazon.com/images/I/51o1HVbwt9L.jpg,844474,height,47.0 centimetre
227653,https://m.media-amazon.com/images/I/51lu47DtQFL.jpg,263982,height,35.0 millimetre
233826,https://m.media-amazon.com/images/I/51w+rcxtuRS.jpg,949192,height,40.0 centimetre
237044,https://m.media-amazon.com/images/I/616Ck9c1ZpL.jpg,478357,height,40.0 centimetre
159135,https://m.media-amazon.com/images/I/51VVEulParL.jpg,175315,height,78.0 centimetre
250527,https://m.media-amazon.com/images/I/416clmi8REL.jpg,864320,height,8.3 inch
255687,https://m.media-amazon.com/images/I/51C4J1vt+sL.jpg,141308,height,21.0 centimetre
232388,https://m.media-amazon.com/images/I/615ZxjvCT7L.jpg,312608,height,50.5 inch
233616,https://m.media-amazon.com/images/I/61+Z14fwhoS.jpg,801829,height,43.3 inch
241062,https://m.media-amazon.com/images/I/41cqncf34sL.jpg,470067,height,6.8 inch
232021,https://m.media-amazon.com/images/I/51SRfBgk42L.jpg,810266,height,9.33 inch
225425,https://m.media-amazon.com/images/I/51Nhy19jOIL.jpg,571756,height,360.0 millimetre
262115,https://m.media-amazon.com/images/I/51T93MFY-QL.jpg,746096,height,32.0 inch
254860,https://m.media-amazon.com/images/I/617PTC3al2L.jpg,452717,height,9.68 inch
233307,https://m.media-amazon.com/images/I/61DOiB+xiXL.jpg,558806,height,9.5 centimetre
197531,https://m.media-amazon.com/images/I/613h1gmpd5L.jpg,734280,depth,6.0 centimetre
219877,https://m.media-amazon.com/images/I/613ZPohxTCL.jpg,139652,depth,20.0 inch
205784,https://m.media-amazon.com/images/I/51K2xGVrw3L.jpg,365756,depth,24.0 centimetre
192051,https://m.media-amazon.com/images/I/613SgsLJd0L.jpg,141308,depth,18.0 centimetre
185936,https://m.media-amazon.com/images/I/617ZUFe2IDS.jpg,843434,depth,50.0 centimetre
186627,https://m.media-amazon.com/images/I/6167YNUM5lL.jpg,728778,depth,190.0 centimetre
194093,https://m.media-amazon.com/images/I/51ACecZ9bUL.jpg,825239,depth,300.0 centimetre
198147,https://m.media-amazon.com/images/I/61FYvXVnrbL.jpg,931247,depth,220.0 centimetre
188649,https://m.media-amazon.com/images/I/615XIv2FhJL.jpg,245652,depth,20.0 centimetre
212857,https://m.media-amazon.com/images/I/51yyKdYEOIL.jpg,864320,depth,39.0 centimetre
200432,https://m.media-amazon.com/images/I/41KoN3woqWL.jpg,126471,depth,203.0 centimetre
216337,https://m.media-amazon.com/images/I/516Pg1xPeTL.jpg,208023,depth,18.0 inch
192186,https://m.media-amazon.com/images/I/51HFkgOs44L.jpg,579652,depth,30.0 centimetre
207234,https://m.media-amazon.com/images/I/51Uz696FoUL.jpg,446789,depth,203.0 centimetre
218219,https://m.media-amazon.com/images/I/51KOCcrpmSL.jpg,966823,depth,3.5 inch
217163,https://m.media-amazon.com/images/I/51UeyfkKkvS.jpg,339467,depth,9.1 inch
184994,https://m.media-amazon.com/images/I/61ByWbJ5BEL.jpg,750883,depth,22.0 millimetre
200089,https://m.media-amazon.com/images/I/515yXFBJYML.jpg,784538,depth,40.0 centimetre
180836,https://m.media-amazon.com/images/I/51LMww-vASL.jpg,630869,depth,18.0 centimetre
193350,https://m.media-amazon.com/images/I/615PHnjZ-ZL.jpg,132401,depth,18.5 inch
140890,https://m.media-amazon.com/images/I/51NJWrrb8XL.jpg,849273,width,12.0 centimetre
147033,https://m.media-amazon.com/images/I/51UEdG3qhEL.jpg,991868,width,40.0 inch
156467,https://m.media-amazon.com/images/I/419NQoCpaRL.jpg,801829,width,38.0 inch
140577,https://m.media-amazon.com/images/I/51H26fBu9TL.jpg,514726,width,50.0 centimetre
158273,https://m.media-amazon.com/images/I/41fFZEmcggL.jpg,695925,width,24.0 centimetre
155447,https://m.media-amazon.com/images/I/61FLkOtpdML.jpg,594224,width,34.0 centimetre
162382,https://m.media-amazon.com/images/I/615VMNPIqCL.jpg,242256,width,70.87 inch
142049,https://m.media-amazon.com/images/I/61ArmVUAwaL.jpg,849273,width,2.16 inch
167896,https://m.media-amazon.com/images/I/61+aQtmW7VL.jpg,955522,width,3.5 inch
151015,https://m.media-amazon.com/images/I/6165GuXbarL.jpg,860821,width,17.5 centimetre
149830,https://m.media-amazon.com/images/I/51mkB4vIRkL.jpg,530318,width,159.0 millimetre
162842,https://m.media-amazon.com/images/I/51B1Q5Mdw-L.jpg,861555,width,2.0 centimetre
160575,https://m.media-amazon.com/images/I/6181EPdNRRL.jpg,442321,width,39.37 inch
137097,https://m.media-amazon.com/images/I/51S+w1pccEL.jpg,932012,width,200.0 centimetre
141516,https://m.media-amazon.com/images/I/51AMSmDJK8L.jpg,184557,width,7.28 inch
170180,https://m.media-amazon.com/images/I/41HZMVbRybS.jpg,300630,width,25.0 centimetre
146425,https://m.media-amazon.com/images/I/51sk-G+H6hL.jpg,784538,width,51.0 inch
152334,https://m.media-amazon.com/images/I/51chyHc0pcL.jpg,478357,width,56.0 centimetre
137618,https://m.media-amazon.com/images/I/51Ytxx90h9L.jpg,521308,width,80.7 inch
168369,https://m.media-amazon.com/images/I/617yMOBTrBL.jpg,415441,width,12.2 inch
