,index,image_link,group_id,entity_name,pytesseract_output,extracted_data,valid_data
18,39416,https://m.media-amazon.com/images/I/51KRRht6O9L.jpg,628971,item_weight,"Vdd: Cele

tian iamtteints Ste sama trin_ oni te
Nutrition Total Fat 4g. 6% Total Carbohydrate 259 8%
Facts “suseirigg ax Demyron
Serge Ty (209) Transat Og Sugars 20

ase Conant Cholesterol 30mg 109 Protein 6

Caos 179

aes 7 ay Sodium éSOng 299%

Vanni 0% © Verne 0

 
","[['4', 'g. 6%', ' Fat '], ['6', '% Tot', ' 4g. '], ['259', ' 8%', 'rate '], ['8', '%', ' 259 '], ['209', ') Tra', ' Ty ('], ['20', '', 'gars '], ['30', 'mg 10', 'erol '], ['109', ' Prot', '30mg '], ['6', '', 'tein '], ['179', '', 'Caos '], ['7', ' ay S', 'aes '], ['299', '%', 'SOng '], ['0', '% © V', 'anni '], ['0', '', 'erne ']]","[['4', 'microgram'], ['6', 'ton'], ['259', 'ton'], ['209', 'ton'], ['20', 'microgram'], ['30', 'microgram'], ['109', 'ton'], ['6', 'ton'], ['299', 'microgram']]"
13100,39417,,,,,,
13101,39418,,,,,,
13102,39419,,,,,,
13103,39420,,,,,,
13104,39421,,,,,,
13105,39422,,,,,,
13106,39423,,,,,,
13107,39424,,,,,,
13108,39425,,,,,,
13109,39426,,,,,,
13110,39427,,,,,,
13111,39428,,,,,,
13112,39429,,,,,,
13113,39430,,,,,,
13114,39431,,,,,,
13115,39432,,,,,,
13116,39433,,,,,,
13117,39434,,,,,,
19,39435,https://m.media-amazon.com/images/I/51KTNmuQ55L.jpg,752266,width,"10cm

100cm

20cm

20cm
","[['10', 'cm', ''], ['100', 'cm', ''], ['20', 'cm', ''], ['20', 'cm', '']]","[['10', 'centimeter'], ['100', 'centimeter'], ['20', 'centimeter'], ['20', 'centimeter']]"
20,39436,https://m.media-amazon.com/images/I/51KTSfyGMJL.jpg,564709,maximum_weight_recommendation,"GN
wy
Engine

50cc 2-Stroke
©

Range

about 20Miles
©

Max Speed

25~30 mph

 
","[['50', 'cc 2-', ''], ['2', '-Stro', '50cc '], ['20', 'Miles', 'bout '], ['25', '~30 m', ''], ['30', ' mph', '25~']]","[['2', 'ton'], ['20', 'ton']]"
21,39437,https://m.media-amazon.com/images/I/51KTYQ+vy+L.jpg,681445,width,"WW 0Z/YDU! g

 

4inch/10 cm
","[['0', 'Z/YDU', 'WW '], ['4', 'inch/', ''], ['10', ' cm', 'inch/']]","[['0', 'yard'], ['4', 'inch'], ['10', 'centimeter']]"
22,39438,https://m.media-amazon.com/images/I/51KTYQ+vy+L.jpg,681445,depth,"WW 0Z/YDU! g

 

4inch/10 cm
","[['0', 'Z/YDU', 'WW '], ['4', 'inch/', ''], ['10', ' cm', 'inch/']]","[['0', 'yard'], ['4', 'inch'], ['10', 'centimeter']]"
23,39439,https://m.media-amazon.com/images/I/51KTd-9wBYL.jpg,810266,width,"8.3cm

 

 

14cm

woy
","[['8.3', 'cm', ''], ['14', 'cm', '']]","[['8.3', 'centimeter'], ['14', 'centimeter']]"
24,39440,https://m.media-amazon.com/images/I/51KTd-9wBYL.jpg,810266,depth,"8.3cm

 

 

14cm

woy
","[['8.3', 'cm', ''], ['14', 'cm', '']]","[['8.3', 'centimeter'], ['14', 'centimeter']]"
25,39441,https://m.media-amazon.com/images/I/51KTfWzpuQS.jpg,557758,item_volume,"No Colorants

 

Tas FLOZ
Sleek Cans

Wainer
",[],[]
26,39442,https://m.media-amazon.com/images/I/51KThzIV+rL.jpg,866516,height,"wl [WILT

 

 

 

7.2cm/3”
","[['7.2', 'cm/3”', ''], ['3', '”', '.2cm/']]","[['7.2', 'centimeter'], ['3', 'centimeter']]"
27,39443,https://m.media-amazon.com/images/I/51KThzIV+rL.jpg,866516,depth,"wl [WILT

 

 

 

7.2cm/3”
","[['7.2', 'cm/3”', ''], ['3', '”', '.2cm/']]","[['7.2', 'centimeter'], ['3', 'centimeter']]"
28,39444,https://m.media-amazon.com/images/I/51KThzIV+rL.jpg,866516,width,"wl [WILT

 

 

 

7.2cm/3”
","[['7.2', 'cm/3”', ''], ['3', '”', '.2cm/']]","[['7.2', 'centimeter'], ['3', 'centimeter']]"
29,39445,https://m.media-amazon.com/images/I/51KTn23r4TL.jpg,478428,wattage,"HEAT UP QUICKLY AND COOK EVENLY

Double heating element shortens preheating time

© 0 @O

Cee Cs Cer)

 
","[['0', ' @O', '© ']]","[['0', 'kilowatt']]"
30,39446,https://m.media-amazon.com/images/I/51KTnN1SkNL.jpg,810266,depth,"Product Size

 

2.7 inch
—— (75cm) ——

3.3 incl
(8.5cm)
height

   
 

6 inch
(15.5cm)
long

Ho
","[['2.7', ' inch', ''], ['75', 'cm) —', '—— ('], ['3.3', ' incl', ''], ['8.5', 'cm)', '('], ['6', ' inch', ''], ['15.5', 'cm)', '(']]","[['2.7', 'inch'], ['75', 'centimeter'], ['3.3', 'inch'], ['8.5', 'centimeter'], ['6', 'inch'], ['15.5', 'centimeter']]"
31,39447,https://m.media-amazon.com/images/I/51KTnN1SkNL.jpg,810266,height,"Product Size

 

2.7 inch
—— (75cm) ——

3.3 incl
(8.5cm)
height

   
 

6 inch
(15.5cm)
long

Ho
","[['2.7', ' inch', ''], ['75', 'cm) —', '—— ('], ['3.3', ' incl', ''], ['8.5', 'cm)', '('], ['6', ' inch', ''], ['15.5', 'cm)', '(']]","[['2.7', 'inch'], ['75', 'centimeter'], ['3.3', 'inch'], ['8.5', 'centimeter'], ['6', 'inch'], ['15.5', 'centimeter']]"
32,39448,https://m.media-amazon.com/images/I/51KTuFBBArL.jpg,142748,depth," 

53cm

 

32cm
","[['53', 'cm', ''], ['32', 'cm', '']]","[['53', 'centimeter'], ['32', 'centimeter']]"
33,39449,https://m.media-amazon.com/images/I/51KTuFBBArL.jpg,142748,width," 

53cm

 

32cm
","[['53', 'cm', ''], ['32', 'cm', '']]","[['53', 'centimeter'], ['32', 'centimeter']]"
34,39450,https://m.media-amazon.com/images/I/51KTuFBBArL.jpg,142748,height," 

53cm

 

32cm
","[['53', 'cm', ''], ['32', 'cm', '']]","[['53', 'centimeter'], ['32', 'centimeter']]"
35,39451,https://m.media-amazon.com/images/I/51KTuKK0yNS.jpg,142748,height,"Lightweight and Convenient

40 inch / 99cm

 

36 inch / 91cm

 

6.8 inch / 17.5cm =

weight: 0.48 Ib / 218g

 

 

WOpG / YOU LZ
","[['40', ' inch', ''], ['99', 'cm', 'ch / '], ['36', ' inch', ''], ['91', 'cm', 'ch / '], ['6.8', ' inch', ''], ['17.5', 'cm =', 'ch / '], ['0.48', ' Ib /', 'ght: '], ['218', 'g', 'Ib / ']]","[['40', 'inch'], ['99', 'centimeter'], ['36', 'inch'], ['91', 'centimeter'], ['6.8', 'inch'], ['17.5', 'centimeter']]"
36,39452,https://m.media-amazon.com/images/I/51KTuKK0yNS.jpg,142748,depth,"Lightweight and Convenient

40 inch / 99cm

 

36 inch / 91cm

 

6.8 inch / 17.5cm =

weight: 0.48 Ib / 218g

 

 

WOpG / YOU LZ
","[['40', ' inch', ''], ['99', 'cm', 'ch / '], ['36', ' inch', ''], ['91', 'cm', 'ch / '], ['6.8', ' inch', ''], ['17.5', 'cm =', 'ch / '], ['0.48', ' Ib /', 'ght: '], ['218', 'g', 'Ib / ']]","[['40', 'inch'], ['99', 'centimeter'], ['36', 'inch'], ['91', 'centimeter'], ['6.8', 'inch'], ['17.5', 'centimeter']]"
37,39453,https://m.media-amazon.com/images/I/51KU+J5n7aS.jpg,119607,depth,"Wh VATE An A
A hy \ Ady;
ROE EM
Keep Off

Size

 
",[],[]
38,39454,https://m.media-amazon.com/images/I/51KU+J5n7aS.jpg,119607,width,"Wh VATE An A
A hy \ Ady;
ROE EM
Keep Off

Size

 
",[],[]
39,39455,https://m.media-amazon.com/images/I/51KU+J5n7aS.jpg,119607,height,"Wh VATE An A
A hy \ Ady;
ROE EM
Keep Off

Size

 
",[],[]
40,39456,https://m.media-amazon.com/images/I/51KU-n0H3eL.jpg,268003,maximum_weight_recommendation,"DOUBLE KIEK BEEK
Stable and free to operate easy to control for beginners
vu

eh
ve

 
   

Emery Non-Stip and
Wear Resistant Griptape

9-LAYERS Strong & Sturdy
Higtht toughness and weight load

Double Kick Deck

 
","[['9', '-LAYE', '']]",[]
41,39457,https://m.media-amazon.com/images/I/51KU7X3at2L.jpg,130202,width,"STICKER 15 cm/ 10 cm

Prédécoupé - Plastifié - Personnalisé

aT

Exemple de texte

Autocollant - Waterproof - Extérieur

Réalisé en FRANCE

 
","[['15', ' cm/ ', 'CKER '], ['10', ' cm', ' cm/ ']]","[['15', 'centimeter'], ['10', 'centimeter']]"
42,39458,https://m.media-amazon.com/images/I/51KU7X3at2L.jpg,130202,depth,"STICKER 15 cm/ 10 cm

Prédécoupé - Plastifié - Personnalisé

aT

Exemple de texte

Autocollant - Waterproof - Extérieur

Réalisé en FRANCE

 
","[['15', ' cm/ ', 'CKER '], ['10', ' cm', ' cm/ ']]","[['15', 'centimeter'], ['10', 'centimeter']]"
43,39459,https://m.media-amazon.com/images/I/51KUJyywQdL.jpg,178778,height," 
",[],[]
44,39460,https://m.media-amazon.com/images/I/51KUNG9x4YL.jpg,844474,height,"OXFORD CLOTH

   

DOUBLE ZIPPERS

 

42cm

 

 
","[['42', 'cm', '']]","[['42', 'centimeter']]"
45,39461,https://m.media-amazon.com/images/I/51KUVZkiQ7L.jpg,866516,height,"3.93in/10.00cm

 

1.96in/5.00cm
","[['3.93', 'in/10', ''], ['10.00', 'cm', '93in/'], ['1.96', 'in/5.', ''], ['5.00', 'cm', '96in/']]","[['3.93', 'inch'], ['10.00', 'centimeter'], ['1.96', 'inch'], ['5.00', 'centimeter']]"
46,39462,https://m.media-amazon.com/images/I/51KUVZkiQ7L.jpg,866516,depth,"3.93in/10.00cm

 

1.96in/5.00cm
","[['3.93', 'in/10', ''], ['10.00', 'cm', '93in/'], ['1.96', 'in/5.', ''], ['5.00', 'cm', '96in/']]","[['3.93', 'inch'], ['10.00', 'centimeter'], ['1.96', 'inch'], ['5.00', 'centimeter']]"
47,39463,https://m.media-amazon.com/images/I/51KUez4I28L.jpg,752266,depth," 

28cm

WOOF
","[['28', 'cm', '']]","[['28', 'centimeter']]"
48,39464,https://m.media-amazon.com/images/I/51KUkUvZSOL.jpg,180726,height,"23MM

  

11MM
","[['23', 'MM', ''], ['11', 'MM', '']]","[['23', 'millimeter'], ['11', 'millimeter']]"
49,39465,https://m.media-amazon.com/images/I/51KUp45omZL.jpg,860821,height,"33”

 

 

Dele

lpr ia
MAGICDRYER

23”

 

Dimension

23""

 

 

75""
","[['33', '”', ''], ['23', '”', ''], ['23', '""', ''], ['75', '""', '']]",[]
50,39466,https://m.media-amazon.com/images/I/51KUpbq3ePL.jpg,142748,depth,"100cm/39.4inch

 

 

 

84cm/33inch
","[['100', 'cm/39', ''], ['39.4', 'inch', '00cm/'], ['84', 'cm/33', ''], ['33', 'inch', '84cm/']]","[['100', 'centimeter'], ['39.4', 'inch'], ['84', 'centimeter'], ['33', 'inch']]"
51,39467,https://m.media-amazon.com/images/I/51KUpbq3ePL.jpg,142748,height,"100cm/39.4inch

 

 

 

84cm/33inch
","[['100', 'cm/39', ''], ['39.4', 'inch', '00cm/'], ['84', 'cm/33', ''], ['33', 'inch', '84cm/']]","[['100', 'centimeter'], ['39.4', 'inch'], ['84', 'centimeter'], ['33', 'inch']]"
52,39468,https://m.media-amazon.com/images/I/51KUpbq3ePL.jpg,142748,width,"100cm/39.4inch

 

 

 

84cm/33inch
","[['100', 'cm/39', ''], ['39.4', 'inch', '00cm/'], ['84', 'cm/33', ''], ['33', 'inch', '84cm/']]","[['100', 'centimeter'], ['39.4', 'inch'], ['84', 'centimeter'], ['33', 'inch']]"
53,39469,https://m.media-amazon.com/images/I/51KUq7ywaQL.jpg,277199,width,"*-
3cm/1.2in

25.5cm/10in

 

(QL EWAN) IA.) ap

5cm/2in
","[['3', 'cm/1.', ''], ['1.2', 'in', '3cm/'], ['25.5', 'cm/10', ''], ['10', 'in', '.5cm/'], ['5', 'cm/2i', ''], ['2', 'in', '5cm/']]","[['3', 'centimeter'], ['1.2', 'inch'], ['25.5', 'centimeter'], ['10', 'inch'], ['5', 'centimeter'], ['2', 'inch']]"
54,39470,https://m.media-amazon.com/images/I/51KUuspLMiL.jpg,418636,item_weight," 
",[],[]
55,39471,https://m.media-amazon.com/images/I/51KV-uJgrcL.jpg,276700,wattage," 
",[],[]
56,39472,https://m.media-amazon.com/images/I/51KV-uJgrcL.jpg,276700,voltage," 
",[],[]
57,39473,https://m.media-amazon.com/images/I/51KVAK9cD6L.jpg,886344,depth," 
",[],[]
58,39474,https://m.media-amazon.com/images/I/51KVAK9cD6L.jpg,886344,height," 
",[],[]
59,39475,https://m.media-amazon.com/images/I/51KVSJa8FtL.jpg,826444,height," 

0.3cm / 0.1 in

10.3cm / 4.1 in

 

7.10m / 2.8 in
","[['0.3', 'cm / ', ''], ['0.1', ' in', 'cm / '], ['10.3', 'cm / ', ''], ['4.1', ' in', 'cm / '], ['7.10', 'm / 2', ''], ['2.8', ' in', '0m / ']]","[['0.3', 'centimeter'], ['0.1', 'inch'], ['10.3', 'centimeter'], ['4.1', 'inch'], ['7.10', 'metre'], ['2.8', 'inch']]"
60,39476,https://m.media-amazon.com/images/I/51KVYEecyCL.jpg,810266,height,"—— a

 

[Sen |

103mm
","[['103', 'mm', '']]","[['103', 'millimeter']]"
61,39477,https://m.media-amazon.com/images/I/51KVdqC87HL.jpg,709627,voltage," 
",[],[]
62,39478,https://m.media-amazon.com/images/I/51KVlOEa+3L.jpg,681445,depth,"19.5CM

 

 

I-—— _ 9.5CM ——4
","[['19.5', 'CM', ''], ['9.5', 'CM ——', '—— _ '], ['4', '', 'CM ——']]","[['19.5', 'centimeter'], ['9.5', 'centimeter'], ['4', 'centimeter']]"
63,39479,https://m.media-amazon.com/images/I/51KVlOEa+3L.jpg,681445,width,"19.5CM

 

 

I-—— _ 9.5CM ——4
","[['19.5', 'CM', ''], ['9.5', 'CM ——', '—— _ '], ['4', '', 'CM ——']]","[['19.5', 'centimeter'], ['9.5', 'centimeter'], ['4', 'centimeter']]"
64,39480,https://m.media-amazon.com/images/I/51KVlOo-a7L.jpg,564709,maximum_weight_recommendation,"~~
iH OF & a aS ( 2
ine: er

 

 

 

 

 

 

 

 
","[['2', '', 'aS ( ']]",[]
65,39481,https://m.media-amazon.com/images/I/51KVqd2gpAL.jpg,276611,width,,[],[]
66,39482,https://m.media-amazon.com/images/I/51KVx77ExkL.jpg,437623,depth,"MINI POSTER

158 x 236 MM / IEA OF 5EA/ RANDOM

 
","[['158', ' x 23', ''], ['236', ' MM /', '58 x '], ['5', 'EA/ R', 'A OF ']]","[['236', 'millimeter']]"
67,39483,https://m.media-amazon.com/images/I/51KVx77ExkL.jpg,437623,height,"MINI POSTER

158 x 236 MM / IEA OF 5EA/ RANDOM

 
","[['158', ' x 23', ''], ['236', ' MM /', '58 x '], ['5', 'EA/ R', 'A OF ']]","[['236', 'millimeter']]"
68,39484,https://m.media-amazon.com/images/I/51KVxMmdV8L.jpg,478357,height,"15.75-Inch_-——__ PE

33.25
Inch

 
","[['15.75', '-Inch', ''], ['33.25', '', '']]","[['15.75', 'inch']]"
69,39485,https://m.media-amazon.com/images/I/51KW-QFYT7L.jpg,237000,width,"U16°99/WII0LT

 
","[['16', '°99/W', 'U'], ['99', '/WII0', 'U16°'], ['0', 'LT', '9/WII']]",[]
70,39486,https://m.media-amazon.com/images/I/51KW2OV7O-L.jpg,978900,width,"Length 10cm/394inch

 

   
  

Tee

14cm/5.51inch

AA
","[['10', 'cm/39', 'ngth '], ['394', 'inch', '10cm/'], ['14', 'cm/5.', ''], ['5.51', 'inch', '14cm/']]","[['10', 'centimeter'], ['394', 'inch'], ['14', 'centimeter'], ['5.51', 'inch']]"
71,39487,https://m.media-amazon.com/images/I/51KW2OV7O-L.jpg,978900,depth,"Length 10cm/394inch

 

   
  

Tee

14cm/5.51inch

AA
","[['10', 'cm/39', 'ngth '], ['394', 'inch', '10cm/'], ['14', 'cm/5.', ''], ['5.51', 'inch', '14cm/']]","[['10', 'centimeter'], ['394', 'inch'], ['14', 'centimeter'], ['5.51', 'inch']]"
72,39488,https://m.media-amazon.com/images/I/51KW2OV7O-L.jpg,978900,height,"Length 10cm/394inch

 

   
  

Tee

14cm/5.51inch

AA
","[['10', 'cm/39', 'ngth '], ['394', 'inch', '10cm/'], ['14', 'cm/5.', ''], ['5.51', 'inch', '14cm/']]","[['10', 'centimeter'], ['394', 'inch'], ['14', 'centimeter'], ['5.51', 'inch']]"
73,39489,https://m.media-amazon.com/images/I/51KW6EByG1L.jpg,221399,maximum_weight_recommendation,"=
Ze
eS
fr
=
7
=|
So
ra
™
a
=)
=
(3
(=)
a
ap
=)
ra.

 
","[['7', '', ''], ['3', '', '(']]",[]
74,39490,https://m.media-amazon.com/images/I/51KW6xzuD8L.jpg,142748,height,"56cm /22in

Produkt GroRe

96cm /37.8in

   

N
o
Oo
q)
/|\
19cm /7.5in
","[['56', 'cm /2', ''], ['22', 'in', '6cm /'], ['96', 'cm /3', ''], ['37.8', 'in', '6cm /'], ['19', 'cm /7', ''], ['7.5', 'in', '9cm /']]","[['56', 'centimeter'], ['22', 'inch'], ['96', 'centimeter'], ['37.8', 'inch'], ['19', 'centimeter'], ['7.5', 'inch']]"
75,39491,https://m.media-amazon.com/images/I/51KW6xzuD8L.jpg,142748,depth,"56cm /22in

Produkt GroRe

96cm /37.8in

   

N
o
Oo
q)
/|\
19cm /7.5in
","[['56', 'cm /2', ''], ['22', 'in', '6cm /'], ['96', 'cm /3', ''], ['37.8', 'in', '6cm /'], ['19', 'cm /7', ''], ['7.5', 'in', '9cm /']]","[['56', 'centimeter'], ['22', 'inch'], ['96', 'centimeter'], ['37.8', 'inch'], ['19', 'centimeter'], ['7.5', 'inch']]"
76,39492,https://m.media-amazon.com/images/I/51KW6xzuD8L.jpg,142748,width,"56cm /22in

Produkt GroRe

96cm /37.8in

   

N
o
Oo
q)
/|\
19cm /7.5in
","[['56', 'cm /2', ''], ['22', 'in', '6cm /'], ['96', 'cm /3', ''], ['37.8', 'in', '6cm /'], ['19', 'cm /7', ''], ['7.5', 'in', '9cm /']]","[['56', 'centimeter'], ['22', 'inch'], ['96', 'centimeter'], ['37.8', 'inch'], ['19', 'centimeter'], ['7.5', 'inch']]"
77,39493,https://m.media-amazon.com/images/I/51KWCwLUILL.jpg,675317,height,"MaBanleitung

 

 

handhaben /130mm|

&
= /5omm |
ST 5omm |

= domino:
130mm
£
£
So
wn
———e
50mm
£
£
o
w
Se jan a
10mm

50mm
","[['130', 'mm|', 'ben /'], ['5', 'omm |', '= /'], ['5', 'omm |', 'ST '], ['130', 'mm', ''], ['50', 'mm', ''], ['10', 'mm', ''], ['50', 'mm', '']]","[['130', 'millimeter'], ['5', 'metre'], ['5', 'metre'], ['130', 'millimeter'], ['50', 'millimeter'], ['10', 'millimeter'], ['50', 'millimeter']]"
78,39494,https://m.media-amazon.com/images/I/51KWKQtbVPL.jpg,913156,width,"30.5cm / 12in

 

a

12.9cm / 5.1in
","[['30.5', 'cm / ', ''], ['12', 'in', 'cm / '], ['12.9', 'cm / ', ''], ['5.1', 'in', 'cm / ']]","[['30.5', 'centimeter'], ['12', 'inch'], ['12.9', 'centimeter'], ['5.1', 'inch']]"
79,39495,https://m.media-amazon.com/images/I/51KWKQtbVPL.jpg,913156,depth,"30.5cm / 12in

 

a

12.9cm / 5.1in
","[['30.5', 'cm / ', ''], ['12', 'in', 'cm / '], ['12.9', 'cm / ', ''], ['5.1', 'in', 'cm / ']]","[['30.5', 'centimeter'], ['12', 'inch'], ['12.9', 'centimeter'], ['5.1', 'inch']]"
80,39496,https://m.media-amazon.com/images/I/51KWoknhwUL.jpg,810266,width,"4.05 inch

7.43 inch

 

 

 

2.63 inch

10.27 inch
","[['4.05', ' inch', ''], ['7.43', ' inch', ''], ['2.63', ' inch', ''], ['10.27', ' inch', '']]","[['4.05', 'inch'], ['7.43', 'inch'], ['2.63', 'inch'], ['10.27', 'inch']]"
81,39497,https://m.media-amazon.com/images/I/51KWrgzGEvS.jpg,931856,height,"16.8cm/6.6in

 

UIG?'G/WOPL

10.5cm/4.1in
","[['16.8', 'cm/6.', ''], ['6.6', 'in', '.8cm/'], ['10.5', 'cm/4.', ''], ['4.1', 'in', '.5cm/']]","[['16.8', 'centimeter'], ['6.6', 'inch'], ['10.5', 'centimeter'], ['4.1', 'inch']]"
82,39498,https://m.media-amazon.com/images/I/51KWwo-ua7L.jpg,641642,voltage,"   

HW (( fi He 4

65.6ft Lights up WN Ss

Every Corner
","[['4', '', 'i He '], ['65.6', 'ft Li', '']]",[]
83,39499,https://m.media-amazon.com/images/I/51KWwo-ua7L.jpg,641642,wattage,"   

HW (( fi He 4

65.6ft Lights up WN Ss

Every Corner
","[['4', '', 'i He '], ['65.6', 'ft Li', '']]",[]
84,39500,https://m.media-amazon.com/images/I/51KWwo-ua7L.jpg,641642,item_weight,"   

HW (( fi He 4

65.6ft Lights up WN Ss

Every Corner
","[['4', '', 'i He '], ['65.6', 'ft Li', '']]","[['65.6', 'ton']]"
85,39501,https://m.media-amazon.com/images/I/51KWwv5jLBL.jpg,375816,item_weight," 
",[],[]
86,39502,https://m.media-amazon.com/images/I/51KWz4NfriL.jpg,308430,depth," 

SIZE

900ml / 30 oz

8.6inch ——

 

5.7 inch
","[['900', 'ml / ', ''], ['30', ' oz', 'ml / '], ['8.6', 'inch ', ''], ['5.7', ' inch', '']]","[['900', 'metre'], ['30', 'metre'], ['8.6', 'inch'], ['5.7', 'inch']]"
87,39503,https://m.media-amazon.com/images/I/51KWz4NfriL.jpg,308430,height," 

SIZE

900ml / 30 oz

8.6inch ——

 

5.7 inch
","[['900', 'ml / ', ''], ['30', ' oz', 'ml / '], ['8.6', 'inch ', ''], ['5.7', ' inch', '']]","[['900', 'metre'], ['30', 'metre'], ['8.6', 'inch'], ['5.7', 'inch']]"
88,39504,https://m.media-amazon.com/images/I/51KX9msJfHL.jpg,695925,depth," 

98mm
(3.9"")

e——— 98mm(3.9"") —————e

(Manual measurement of product size data is for reference only)
","[['98', 'mm', ''], ['3.9', '"")', '('], ['98', 'mm(3.', 'e——— '], ['3.9', '"") ——', '98mm(']]","[['98', 'millimeter'], ['98', 'metre'], ['3.9', 'metre']]"
